school_year,dpi_true_id,school_name,agency_type,district_name,county,charter_indicator,choice_indicator,accurate_agency_type,broad_agency_type,MPCP_indicator,RPCP_indicator,WPCP_indicator,SNSP_indicator,MPCP_has_students,RPCP_has_students,WPCP_has_students,SNSP_has_students,locale_description,city,MPCP_percent,milwaukee_indicator
2015-16,3619_0098,Burdick Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0109,Business and Economics Academy of Milwaukee,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0407,Carmen High School of Science and Technology South Campus,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0108,Carson Academy,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0178,Carver Academy,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0104,Cass Street Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0110,Clarke Street Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0114,Clemens Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0113,Clement Avenue Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0116,Congress Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0117,Cooper Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0501,Craig Montessori School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0122,Curtin Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0820,Daniels University Preparatory Academy,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0125,Doerfler Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0143,Eighty-First Street Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0148,Elm Creative Arts Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0150,Emerson Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0152,Engleburg Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0155,Fairview Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0158,Fernwood Montessori,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0170,Fifty-Third Street Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0173,Forest Home Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0179,Franklin Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0182,Fratney Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0185,Gaenslen Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0191,Garland Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0192,Goodrich Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0193,Grant Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0196,Grantosa Drive Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0202,Greenfield Bilingual,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0236,Groppi High,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0018,Hamilton High,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0205,Hampton Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0880,HAPA-Hmong Amer Peace Academy K3-12,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0208,Hartford Avenue Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0211,Hawley Environmental School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0212,Hawthorne Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0214,Hayes Bilingual School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0217,Hi-Mount Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0852,Highland Community School,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0218,Holmes Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0253,Hopkins Lloyd,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0112,Howard Avenue Montessori School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0223,Humboldt Park Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0377,Jackson Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0409,James Madison Academic Campus,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0232,Kagel Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0235,Keefe Avenue Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0237,Kilbourn Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0210,King IB Middle,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0020,King International,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0199,King Jr Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0337,Kluge Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_1121,La Causa Charter School,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0238,LaFollette Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0241,Lancaster Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0250,Lincoln Avenue Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0006,Lincoln Middle School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0256,Longfellow Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0257,Lowell Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0870,MacDowell Montessori School K3-12,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0265,Manitoba Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0267,Maple Tree Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0268,Maryland Montessori,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0176,Meir School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0525,Metcalfe Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0103,Milwaukee Academy of Chinese Language,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0111,Milwaukee College Preparatory School -- 38th Street,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0145,Milwaukee College Preparatory School -- Lloyd Street,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0441,Milwaukee Community Cyber High,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0315,Milwaukee County Youth Education Center,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0118,Milwaukee Environmental Science Academy,Public school,Milwaukee,Milwaukee,1,0,Non-Instrumentality Charter,Independently Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0140,Milwaukee French Immersion,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0146,Milwaukee German Immersion,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0038,Milwaukee High School of the Arts,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0362,Milwaukee Parkside School,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0071,Milwaukee School of Languages,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0226,Milwaukee Sign Language Elementary,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
2015-16,3619_0167,Milwaukee Spanish Immersion,Public school,Milwaukee,Milwaukee,0,0,Traditional Public,District Operated,0,0,0,0,0,0,0,0,City,Milwaukee,0,1
