school_year,dpi_true_id,school_name,accurate_agency_type,broad_agency_type,overall_score,overall_rating,lowest_grade,highest_grade,grade_band,school_type,school_enrollment,district_enrollment,per_am_in,per_asian,per_b_aa,per_hisp_lat,per_nh_opi,per_white,per_tom,per_swd,per_ed,per_lep,per_choice,per_open,sch_ach,sch_ela_ach,sch_math_ach,sch_growth,sch_ela_growth,sch_math_growth,sch_cg,sch_ela_cg,sch_math_cg,sch_4y_grad_gap,sch_6y_grad_gap,sch_grad_gap,sch_ot,sch_grad_rate,sch_att_rate,sch_3rd_ela,sch_8th_math,ach_weight,growth_weight,cg_weight,ot_weight,report_card_type,cg_redacted,has_2_rc
2017-18,3619_0149,Starms Early Childhood,Traditional Public,District Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-19,3619_0115,Lee Learning Center,Traditional Public,District Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-19,3619_1141,Next Door Charter,Non-Instrumentality Charter,Independently Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-19,3619_0149,Starms Early Childhood,Traditional Public,District Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-16,0000_1696,Acelero Learning Milw Co,Private,Private,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-20,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,District Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-20,3619_0413,Alliance School of Milwaukee,Instrumentality Charter,District Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-20,3619_1063,ASSATA High,Partnership,Independently Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-20,3619_0432,Banner Preparatory School of Milwaukee,Partnership,Independently Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-20,3619_0410,Grandview High,Partnership,Independently Operated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
