school_year,dpi_true_id,school_name,accurate_agency_type,total_enrollment
2015-16,3619_0458,Project STAY,Traditional Public,206
2015-16,3619_0026,Pulaski High,Traditional Public,947
2015-16,3619_0435,Reagan College Preparatory High,Traditional Public,1311
2015-16,3619_0313,Riley Elementary,Traditional Public,535
2015-16,3619_0194,River Trail Elementary,Traditional Public,430
2015-16,3619_0029,Riverside High,Traditional Public,1524
2015-16,3619_0177,Rogers Street Academy,Traditional Public,664
2015-16,3619_0059,Roosevelt Middle,Traditional Public,432
2015-16,3619_1074,Shalom High,Partnership,118
2015-16,3619_0319,Sherman Elementary,Traditional Public,384
2015-16,3619_0107,Siefert Elementary,Traditional Public,297
2015-16,3619_0325,Silver Spring Elementary,Traditional Public,290
2015-16,3619_0032,South Division High,Traditional Public,1354
2015-16,3619_1086,Southeastern,Partnership,21
2015-16,3619_0825,St Charles Behav Reassign Success Acad,Partnership,6
2015-16,3619_0312,Starms Discovery,Traditional Public,400
2015-16,3619_0149,Starms Early Childhood,Traditional Public,293
2015-16,3619_0343,Story Elementary,Traditional Public,415
2015-16,3619_0344,Stuart Elementary,Traditional Public,331
2015-16,3619_0360,Thoreau Elementary,Traditional Public,503
2015-16,3619_0154,Thurston Woods Elementary,Traditional Public,449
2015-16,3619_0365,Townsend Street Elementary,Traditional Public,311
2015-16,3619_0433,Transition High,Traditional Public,162
2015-16,3619_0368,Trowbridge Street Elementary,Traditional Public,258
2015-16,3619_0875,Universal Academy for the College Bound,Non-Instrumentality Charter,1051
2015-16,3619_0387,Victory Elementary,Traditional Public,549
2015-16,3619_0390,Vieau Elementary,Traditional Public,735
2015-16,3619_0033,Vincent High,Traditional Public,1193
2015-16,3619_0204,Wedgewood Park School,Traditional Public,913
2015-16,3619_0130,Westside Academy,Traditional Public,393
2015-16,3619_0397,Whitman Elementary,Traditional Public,382
2015-16,3619_0398,Whittier Elementary,Instrumentality Charter,213
2015-16,3619_0424,WHS Information Technology,Traditional Public,689
2015-16,3619_0399,WI Conservatory of Lifelong Learning,Traditional Public,635
2015-16,3619_0295,Zablocki Elementary,Traditional Public,477
2015-16,8106_1251,Milwaukee Academy of Science,2r/2x Charter,1042
2015-16,8103_0100,Milwaukee College Preparatory School -- 36th Street,2r/2x Charter,503
2015-16,8134_0100,Milwaukee College Preparatory School: Lola Rowe North Campus,2r/2x Charter,472
2015-16,8127_0400,Milwaukee Collegiate Academy,2r/2x Charter,298
2015-16,8128_0800,Milwaukee Math and Science Academy,2r/2x Charter,341
2015-16,8129_0100,Milwaukee Scholars Charter School,2r/2x Charter,570
2015-16,8130_0800,North Point Lighthouse Charter School,2r/2x Charter,341
2015-16,8133_0100,Rocketship Southside Community Prep,2r/2x Charter,425
2015-16,8107_1279,School for Early Development and Achievement (SEDA),2r/2x Charter,97
2015-16,8121_0100,Seeds of Health Elementary Program,2r/2x Charter,465
2015-16,8115_0400,Tenor High School,2r/2x Charter,248
2015-16,8125_0100,Urban Day School,2r/2x Charter,423
2015-16,8124_0400,Veritas High,2r/2x Charter,253
2015-16,8113_8728,Woodlands School,2r/2x Charter,346
2015-16,8132_0100,Woodlands School East,2r/2x Charter,214
2016-17,8123_0100,Bruce Guadalupe,2r/2x Charter,1235
2016-17,8114_0100,Capitol West Academy,2r/2x Charter,287
2016-17,8105_1211,Central City Cyberschool,2r/2x Charter,419
2016-17,8109_0100,Darrell Lynn Hines Academy,2r/2x Charter,282
2016-17,8101_1056,Downtown Montessori,2r/2x Charter,272
2016-17,8131_0400,Escuela Verde,2r/2x Charter,117
2016-17,3619_0316,Academy of Accelerated Learning,Traditional Public,637
2016-17,3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,493
2016-17,3619_0075,Alcott Elementary,Traditional Public,344
2016-17,3619_0073,Allen-Field Elementary,Traditional Public,658
2016-17,3619_0413,Alliance School of Milwaukee,Instrumentality Charter,200
2016-17,3619_1063,ASSATA High,Partnership,108
2016-17,3619_0434,Audubon Technology and Communication High School,Traditional Public,371
2016-17,3619_0041,Audubon Technology and Communication Middle School,Traditional Public,579
2016-17,3619_0077,Auer Avenue Elementary,Traditional Public,255
2016-17,3619_0432,Banner Preparatory School of Milwaukee,Partnership,51
2016-17,3619_0188,Barbee Elementary,Traditional Public,342
2016-17,3619_0081,Barton Elementary,Traditional Public,305
2016-17,3619_0012,Bay View High,Traditional Public,820
2016-17,3619_0356,Bethune Academy,Traditional Public,528
2016-17,3619_0014,Bradley Technology High,Traditional Public,847
2016-17,3619_0089,Brown Street Academy,Traditional Public,309
2016-17,3619_0092,Browning Elementary,Traditional Public,266
2016-17,3619_0093,Bruce Elementary,Traditional Public,215
2016-17,3619_0094,Bryant Elementary,Traditional Public,252
2016-17,3619_0095,Burbank Elementary,Traditional Public,648
2016-17,3619_0098,Burdick Elementary,Traditional Public,659
2016-17,3619_0109,Business and Economics Academy of Milwaukee,Non-Instrumentality Charter,651
2016-17,3619_0407,Carmen High School of Science and Technology South Campus,Non-Instrumentality Charter,358
2016-17,3619_0451,Carmen High School of Science and Technology Southeast Campus,Non-Instrumentality Charter,169
2016-17,3619_0444,Carmen Middle/High School of Science and Technology Northwest Campus,Non-Instrumentality Charter,630
2016-17,3619_0108,Carson Academy,Traditional Public,447
2016-17,3619_0178,Carver Academy,Traditional Public,436
2016-17,3619_0104,Cass Street Elementary,Traditional Public,419
2016-17,3619_0110,Clarke Street Elementary,Traditional Public,307
2016-17,3619_0114,Clemens Elementary,Traditional Public,275
2016-17,3619_0113,Clement Avenue Elementary,Traditional Public,432
2016-17,3619_0416,Community High School,Instrumentality Charter,237
2016-17,3619_0116,Congress Elementary,Traditional Public,737
2016-17,3619_0117,Cooper Elementary,Traditional Public,431
2016-17,3619_0501,Craig Montessori School,Traditional Public,444
2016-17,3619_0122,Curtin Elementary,Traditional Public,311
2016-17,3619_0820,Daniels University Preparatory Academy,Non-Instrumentality Charter,224
2016-17,3619_0125,Doerfler Elementary,Traditional Public,675
2016-17,3619_0143,Eighty-First Street Elementary,Traditional Public,353
2016-17,3619_0148,Elm Creative Arts Elementary,Traditional Public,398
2016-17,3619_0150,Emerson Elementary,Traditional Public,273
2016-17,3619_0152,Engleburg Elementary,Traditional Public,312
2016-17,3619_0155,Fairview Elementary,Traditional Public,643
2016-17,3619_0158,Fernwood Montessori,Traditional Public,739
2016-17,3619_0170,Fifty-Third Street Elementary,Traditional Public,470
2016-17,3619_0173,Forest Home Elementary,Traditional Public,722
2016-17,3619_0179,Franklin Elementary,Traditional Public,346
2016-17,3619_0182,Fratney Elementary,Traditional Public,454
2016-17,3619_0185,Gaenslen Elementary,Traditional Public,761
2016-17,3619_0191,Garland Elementary,Traditional Public,556
2016-17,3619_0192,Goodrich Elementary,Traditional Public,302
2016-17,3619_0410,Grandview High,Partnership,234
2016-17,3619_0193,Grant Elementary,Traditional Public,649
2016-17,3619_0196,Grantosa Drive Elementary,Traditional Public,619
2016-17,3619_0202,Greenfield Bilingual,Traditional Public,653
2016-17,3619_0236,Groppi High,Traditional Public,191
2016-17,3619_0018,Hamilton High,Traditional Public,1816
2016-17,3619_0205,Hampton Elementary,Traditional Public,223
2016-17,3619_0880,HAPA-Hmong American Peace Academy K3-12,Non-Instrumentality Charter,1480
2016-17,3619_0208,Hartford Avenue Elementary,Traditional Public,573
2016-17,3619_0211,Hawley Environmental School,Traditional Public,354
2016-17,3619_0212,Hawthorne Elementary,Traditional Public,303
2016-17,3619_0214,Hayes Bilingual School,Traditional Public,625
2016-17,3619_0217,Hi-Mount Elementary,Traditional Public,254
2016-17,3619_0852,Highland Community School,Non-Instrumentality Charter,390
2016-17,3619_0218,Holmes Elementary,Traditional Public,284
2016-17,3619_0334,Honey Creek Elementary,Instrumentality Charter,391
2016-17,3619_0253,Hopkins Lloyd Community School,Traditional Public,278
2016-17,3619_0112,Howard Avenue Montessori School,Traditional Public,257
2016-17,3619_0223,Humboldt Park Elementary,Traditional Public,594
2016-17,3619_0165,IDEAL Individualized Developmental Educational Approaches to Learning,Instrumentality Charter,333
2016-17,3619_0377,Jackson Elementary,Traditional Public,306
2016-17,3619_0409,James Madison Academic Campus,Traditional Public,702
2016-17,3619_0232,Kagel Elementary,Traditional Public,288
2016-17,3619_0235,Keefe Avenue Elementary,Traditional Public,257
2016-17,3619_0237,Kilbourn Elementary,Traditional Public,251
2016-17,3619_0020,King International,Traditional Public,1529
2016-17,3619_0210,King International Baccalaureate Middle,Traditional Public,399
2016-17,3619_0199,King Jr Elementary,Traditional Public,355
2016-17,3619_0337,Kluge Elementary,Traditional Public,294
2016-17,3619_1121,La Causa Charter School,Non-Instrumentality Charter,805
2016-17,3619_0296,Lad Lake Synergy School,Partnership,59
2016-17,3619_0238,LaFollette Elementary,Traditional Public,210
2016-17,3619_0241,Lancaster Elementary,Traditional Public,267
2016-17,3619_0250,Lincoln Avenue Elementary,Traditional Public,513
2016-17,3619_0006,Lincoln Middle,Traditional Public,702
2016-17,3619_0256,Longfellow Elementary,Traditional Public,883
2016-17,3619_0257,Lowell Elementary,Traditional Public,268
2016-17,3619_0870,MacDowell Montessori School K3-12,Traditional Public,727
2016-17,3619_0265,Manitoba Elementary,Traditional Public,588
2016-17,3619_0267,Maple Tree Elementary,Traditional Public,283
2016-17,3619_0008,Marshall High,Traditional Public,876
2016-17,3619_0268,Maryland Montessori,Traditional Public,433
2016-17,3619_0176,Meir School,Traditional Public,1029
2016-17,3619_0525,Metcalfe Elementary,Traditional Public,278
2016-17,3619_0103,Milwaukee Academy of Chinese Language,Traditional Public,435
2016-17,3619_0123,Milwaukee College Preparatory School -- 36th Street Campus,Non-Instrumentality Charter,501
2016-17,3619_0111,Milwaukee College Preparatory School -- 38th Street,Non-Instrumentality Charter,497
2016-17,3619_0145,Milwaukee College Preparatory School -- Lloyd Street,Non-Instrumentality Charter,477
2016-17,3619_0121,Milwaukee College Preparatory School: Lola Rowe North Campus,Non-Instrumentality Charter,488
2016-17,3619_0441,Milwaukee Community Cyber High,Non-Instrumentality Charter,152
2016-17,3619_0315,Milwaukee County Youth Education Center,Traditional Public,34
2016-17,3619_0118,Milwaukee Environmental Science Academy,Non-Instrumentality Charter,389
2016-17,3619_0885,Milwaukee Excellence Charter School,Non-Instrumentality Charter,87
2016-17,3619_0140,Milwaukee French Immersion,Traditional Public,578
2016-17,3619_0146,Milwaukee German Immersion,Traditional Public,621
2016-17,3619_0038,Milwaukee High School of the Arts,Traditional Public,916
2016-17,3619_0362,Milwaukee Parkside School,Traditional Public,791
2016-17,3619_0071,Milwaukee School of Languages,Traditional Public,1185
2016-17,3619_0226,Milwaukee Sign Language Elementary,Traditional Public,528
2016-17,3619_0167,Milwaukee Spanish Immersion,Traditional Public,633
2016-17,3619_0274,Mitchell Elementary,Traditional Public,689
